iter,time,freq,theta,wall_position, q1,wallF1,TopWallF1,ball_cg_corrected, ball_centroid,PLL_amp, PLL_phase,q1_ke,ball_ke
1055628,0.0004711058549617348,2504.890753,7.411619220308947,1.739692e-06,1.739692e-06,-14.201,3.7021e+05,-1.67184e-06,2.43165512e-06,5.25058e-08,-1.56896,0.00018924,3.0484e-06
1064574,0.000475098277461409,2504.890753,7.474482826927322,2.181621e-06,2.181621e-06,-14.091,3.7021e+05,-1.95343e-06,2.16500798e-06,5.31465e-08,-1.57621,0.00061504,8.9623e-06
1073520,0.00047909069996108323,2504.890753,7.537346433545697,2.875835e-06,2.875835e-06,-14.029,3.7021e+05,-2.39662e-06,1.73542253e-06,5.37895e-08,-1.58328,0.0012794,1.8185e-05
1082466,0.00048308312246075745,2504.890753,7.600210040164073,3.820275e-06,3.820275e-06,-13.834,3.7021e+05,-2.99936e-06,1.15418765e-06,5.44346e-08,-1.59016,0.0021745,3.065e-05
1091412,0.00048707554496043166,2504.890753,7.663073646782448,5.012139e-06,5.012139e-06,-13.764,3.7021e+05,-3.76057e-06,4.1536433e-07,5.50817e-08,-1.59687,0.0032896,4.6314e-05
1100358,0.0004910679674604444,2504.890753,7.725937253405803,6.44787e-06,6.44787e-06,-13.782,3.7021e+05,-4.67894e-06,-4.92916967e-07,5.57308e-08,-1.6034,0.0046115,6.504e-05
1109304,0.0004950603899606036,2504.890753,7.788800860031808,8.123274e-06,8.123274e-06,-13.177,3.7021e+05,-5.75068e-06,-1.55242573e-06,5.63817e-08,-1.60975,0.0061254,8.6208e-05
1118250,0.0004990528124607628,2504.890753,7.851664466657812,1.003346e-05,1.003346e-05,-12.884,3.7021e+05,-6.97295e-06,-2.76530448e-06,5.70343e-08,-1.61593,0.0078133,0.00010988
1127196,0.000503045234960922,2504.890753,7.914528073283817,1.217287e-05,1.217287e-05,-12.49,3.7021e+05,-8.34172e-06,-4.12771597e-06,5.76887e-08,-1.62194,0.0096557,0.00013563
1136142,0.0005070376574610811,2504.890753,7.977391679909822,1.453524e-05,1.453524e-05,-12.146,3.7021e+05,-9.85317e-06,-5.63273087e-06,5.83449e-08,-1.62776,0.011631,0.00016332
1145088,0.0005110300799612403,2504.890753,8.040255286535832,1.711367e-05,1.711367e-05,-11.72,3.7021e+05,-1.15029e-05,-7.27441112e-06,5.90029e-08,-1.6334,0.013716,0.00019247
1154034,0.0005150225024613995,2504.890753,8.103118893161845,1.990067e-05,1.990067e-05,-11.267,3.7021e+05,-1.32862e-05,-9.04990595e-06,5.96628e-08,-1.63886,0.015887,0.00022287
1162980,0.0005190149249615587,2504.890753,8.165982499787859,2.28881e-05,2.28881e-05,-10.891,3.7021e+05,-1.51976e-05,-1.09488871e-05,6.03248e-08,-1.64413,0.018118,0.00025412
1171926,0.0005230073474617178,2504.890753,8.228846106413872,2.606726e-05,2.606726e-05,-10.342,3.7021e+05,-1.72318e-05,-1.29696847e-05,6.09893e-08,-1.64922,0.020384,0.00028588
1180872,0.000526999769961877,2504.890753,8.291709713039886,2.942893e-05,2.942893e-05,-9.7966,3.7021e+05,-1.93825e-05,-1.5100075e-05,6.16565e-08,-1.65411,0.022658,0.00031781
1189818,0.0005309921924620362,2504.890753,8.3545733196659,3.296331e-05,3.296331e-05,-9.2957,3.7021e+05,-2.16436e-05,-1.73396092e-05,6.23269e-08,-1.6588,0.024914,0.00034946
1198764,0.0005349846149621954,2504.890753,8.417436926291913,3.666014e-05,3.666014e-05,-8.6971,3.7021e+05,-2.40086e-05,-1.96805209e-05,6.30009e-08,-1.66331,0.027125,0.00038054
1207710,0.0005389770374623546,2504.890753,8.480300532917926,4.050866e-05,4.050866e-05,-8.0993,3.7021e+05,-2.64709e-05,-2.21241428e-05,6.36791e-08,-1.66761,0.029267,0.0004105
1216656,0.0005429694599625137,2504.890753,8.54316413954394,4.44977e-05,4.44977e-05,-7.549,3.7021e+05,-2.90233e-05,-2.46653023e-05,6.43622e-08,-1.67171,0.031314,0.00043927
1225602,0.0005469618824626729,2504.890753,8.606027746169953,4.861565e-05,4.861565e-05,-6.9111,3.7021e+05,-3.16583e-05,-2.72914947e-05,6.50509e-08,-1.67561,0.033242,0.00046628
1234548,0.0005509543049628321,2504.890753,8.668891352795967,5.285059e-05,5.285059e-05,-6.2001,3.7021e+05,-3.43681e-05,-2.99944129e-05,6.57461e-08,-1.67931,0.03503,0.00049136
